train_number,station,time
117,Menlo Park,09:28 AM
117,Redwood City,09:33 AM
117,San Carlos,09:37 AM
117,Belmont,09:39 AM
117,Hillsdale,09:42 AM
117,Hayward Park,09:45 AM
117,San Mateo,09:47 AM
117,Burlingame,09:50 AM
117,Millbrae,09:54 AM
117,San Bruno,09:57 AM
117,S. San Francisco,10:00 AM
117,Bayshore,10:05 AM
117,22Nd Street,10:10 AM
117,San Francisco,10:16 AM
118,San Francisco,09:25 AM
118,22Nd Street,09:30 AM
118,Bayshore,09:34 AM
118,S. San Francisco,09:40 AM
118,San Bruno,09:43 AM
118,Millbrae,09:46 AM
118,Burlingame,09:50 AM
118,San Mateo,09:53 AM
118,Hayward Park,09:55 AM
118,Hillsdale,09:57 AM
118,Belmont,10:01 AM
118,San Carlos,10:03 AM
118,Redwood City,10:07 AM
118,Menlo Park,10:11 AM
118,Palo Alto,10:14 AM
118,California Avenue,10:17 AM
118,San Antonio,10:21 AM
118,Mountain View,10:24 AM
118,Sunnyvale,10:28 AM
118,Lawrence,10:31 AM
118,Santa Clara,10:36 AM
118,San Jose Diridon,10:42 AM
119,San Jose Diridon,09:28 AM
119,Santa Clara,09:34 AM
119,Lawrence,09:39 AM
119,Sunnyvale,09:42 AM
119,Mountain View,09:46 AM
119,San Antonio,09:49 AM
119,California Avenue,09:52 AM
119,Palo Alto,09:55 AM
119,Menlo Park,09:58 AM
119,Redwood City,10:03 AM
119,San Carlos,10:07 AM
119,Belmont,10:09 AM
119,Hillsdale,10:12 AM
119,Hayward Park,10:15 AM
119,San Mateo,10:17 AM
119,Burlingame,10:20 AM
119,Millbrae,10:24 AM
119,San Bruno,10:27 AM
119,S. San Francisco,10:30 AM
119,Bayshore,10:35 AM
119,22Nd Street,10:40 AM
119,San Francisco,10:46 AM
120,San Francisco,09:55 AM
120,22Nd Street,10:00 AM
120,Bayshore,10:04 AM
120,S. San Francisco,10:10 AM
120,San Bruno,10:13 AM
120,Millbrae,10:16 AM
120,Burlingame,10:20 AM
120,San Mateo,10:23 AM
120,Hayward Park,10:25 AM
120,Hillsdale,10:27 AM
120,Belmont,10:31 AM
120,San Carlos,10:33 AM
120,Redwood City,10:37 AM
120,Menlo Park,10:41 AM
120,Palo Alto,10:44 AM
120,California Avenue,10:47 AM
120,San Antonio,10:51 AM
120,Mountain View,10:54 AM
120,Sunnyvale,10:58 AM
120,Lawrence,11:01 AM
120,Santa Clara,11:06 AM
120,San Jose Diridon,11:13 AM
120,Tamien,11:18 AM
121,Tamien,09:52 AM
121,San Jose Diridon,09:58 AM
121,Santa Clara,10:04 AM
121,Lawrence,10:09 AM
121,Sunnyvale,10:12 AM
121,Mountain View,10:16 AM
121,San Antonio,10:19 AM
121,California Avenue,10:22 AM
121,Palo Alto,10:25 AM
121,Menlo Park,10:28 AM
121,Redwood City,10:33 AM
121,San Carlos,10:37 AM
121,Belmont,10:39 AM
121,Hillsdale,10:42 AM
121,Hayward Park,10:45 AM
121,San Mateo,10:47 AM
121,Burlingame,10:50 AM
121,Millbrae,10:54 AM
121,San Bruno,10:57 AM
121,S. San Francisco,11:00 AM
121,Bayshore,11:05 AM
121,22Nd Street,11:10 AM
121,San Francisco,11:16 AM
122,San Francisco,10:25 AM
122,22Nd Street,10:30 AM
122,Bayshore,10:34 AM
122,S. San Francisco,10:40 AM
122,San Bruno,10:43 AM
122,Millbrae,10:46 AM
122,Burlingame,10:50 AM
122,San Mateo,10:53 AM
122,Hayward Park,10:55 AM
122,Hillsdale,10:57 AM
122,Belmont,11:01 AM
122,San Carlos,11:03 AM
122,Redwood City,11:07 AM
122,Menlo Park,11:11 AM
122,Palo Alto,11:14 AM
122,California Avenue,11:17 AM
122,San Antonio,11:21 AM
122,Mountain View,11:24 AM
122,Sunnyvale,11:28 AM
122,Lawrence,11:31 AM
122,Santa Clara,11:36 AM
122,San Jose Diridon,11:42 AM
123,San Jose Diridon,10:28 AM
123,Santa Clara,10:34 AM
123,Lawrence,10:39 AM
123,Sunnyvale,10:42 AM
123,Mountain View,10:46 AM
123,San Antonio,10:49 AM
123,California Avenue,10:52 AM
123,Palo Alto,10:55 AM
123,Menlo Park,10:58 AM
123,Redwood City,11:03 AM
123,San Carlos,11:07 AM
123,Belmont,11:09 AM
123,Hillsdale,11:12 AM
123,Hayward Park,11:15 AM
123,San Mateo,11:17 AM
123,Burlingame,11:20 AM
123,Millbrae,11:24 AM
123,San Bruno,11:27 AM
123,S. San Francisco,11:30 AM
123,Bayshore,11:35 AM
123,22Nd Street,11:40 AM
123,San Francisco,11:46 AM
124,San Francisco,10:55 AM
124,22Nd Street,11:00 AM
124,Bayshore,11:04 AM
124,S. San Francisco,11:10 AM
124,San Bruno,11:13 AM
124,Millbrae,11:16 AM
124,Burlingame,11:20 AM
124,San Mateo,11:23 AM
124,Hayward Park,11:25 AM
124,Hillsdale,11:27 AM
124,Belmont,11:31 AM
124,San Carlos,11:33 AM
124,Redwood City,11:37 AM
124,Menlo Park,11:41 AM
124,Palo Alto,11:44 AM
124,California Avenue,11:47 AM
124,San Antonio,11:51 AM
124,Mountain View,11:54 AM
124,Sunnyvale,11:58 AM
124,Lawrence,12:01 PM
124,Santa Clara,12:06 PM
124,San Jose Diridon,12:13 PM
124,Tamien,12:18 PM
125,Tamien,10:52 AM
125,San Jose Diridon,10:58 AM
125,Santa Clara,11:04 AM
125,Lawrence,11:09 AM
125,Sunnyvale,11:12 AM
125,Mountain View,11:16 AM
125,San Antonio,11:19 AM
125,California Avenue,11:22 AM
125,Palo Alto,11:25 AM
125,Menlo Park,11:28 AM
125,Redwood City,11:33 AM
125,San Carlos,11:37 AM
125,Belmont,11:39 AM
125,Hillsdale,11:42 AM
125,Hayward Park,11:45 AM
125,San Mateo,11:47 AM
125,Burlingame,11:50 AM
125,Millbrae,11:54 AM
125,San Bruno,11:57 AM
125,S. San Francisco,12:00 PM
125,Bayshore,12:05 PM
125,22Nd Street,12:10 PM
125,San Francisco,12:16 PM
128,San Francisco,11:55 AM
128,22Nd Street,12:00 PM
128,Bayshore,12:04 PM
128,S. San Francisco,12:10 PM
128,San Bruno,12:13 PM
128,Millbrae,12:16 PM
128,Burlingame,12:20 PM
128,San Mateo,12:23 PM
128,Hayward Park,12:25 PM
128,Hillsdale,12:27 PM
128,Lawrence,01:01 PM
128,Santa Clara,01:06 PM
128,San Jose Diridon,01:13 PM
128,Tamien,01:18 PM
129,Tamien,11:52 AM
129,San Jose Diridon,11:58 AM
129,Santa Clara,12:04 PM
129,Lawrence,12:09 PM
129,Sunnyvale,12:12 PM
129,Mountain View,12:16 PM
129,San Antonio,12:19 PM
129,California Avenue,12:22 PM
129,Palo Alto,12:25 PM
129,Menlo Park,12:28 PM
129,S. San Francisco,01:00 PM
129,Bayshore,01:05 PM
129,22Nd Street,01:10 PM
129,San Francisco,01:16 PM
130,San Francisco,12:25 PM
130,Belmont,01:01 PM
130,San Carlos,01:03 PM
130,Redwood City,01:07 PM
130,Menlo Park,01:11 PM
130,Palo Alto,01:14 PM
130,California Avenue,01:17 PM
130,San Antonio,01:21 PM
130,Mountain View,01:24 PM
130,Sunnyvale,01:28 PM
130,Lawrence,01:31 PM
130,Santa Clara,01:36 PM
130,San Jose Diridon,01:42 PM
131,San Jose Diridon,12:28 PM
131,Redwood City,01:03 PM
131,San Carlos,01:07 PM
131,Belmont,01:09 PM
131,Hillsdale,01:12 PM
131,Hayward Park,01:15 PM
131,San Mateo,01:17 PM
131,Burlingame,01:20 PM
131,Millbrae,01:24 PM
131,San Bruno,01:27 PM
131,S. San Francisco,01:30 PM
131,Bayshore,01:35 PM
131,22Nd Street,01:40 PM
131,San Francisco,01:46 PM
132,22Nd Street,01:00 PM
132,Bayshore,01:04 PM
132,S. San Francisco,01:10 PM
132,San Bruno,01:13 PM
132,Millbrae,01:16 PM
132,Burlingame,01:20 PM
132,San Mateo,01:23 PM
132,Hayward Park,01:25 PM
132,Hillsdale,01:27 PM
132,Belmont,01:31 PM
132,San Carlos,01:33 PM
132,Redwood City,01:37 PM
132,Menlo Park,01:41 PM
132,Palo Alto,01:44 PM
132,California Avenue,01:47 PM
132,San Antonio,01:51 PM
132,Mountain View,01:54 PM
132,Sunnyvale,01:58 PM
132,Lawrence,02:01 PM
132,Santa Clara,02:06 PM
132,San Jose Diridon,02:13 PM
132,Tamien,02:18 PM
133,Tamien,12:52 PM
133,Santa Clara,01:04 PM
133,Lawrence,01:09 PM
133,Sunnyvale,01:12 PM
133,Mountain View,01:16 PM
133,San Antonio,01:19 PM
133,California Avenue,01:22 PM
133,Palo Alto,01:25 PM
133,Menlo Park,01:28 PM
133,Redwood City,01:33 PM
133,San Carlos,01:37 PM
133,Belmont,01:39 PM
133,Hillsdale,01:42 PM
133,Hayward Park,01:45 PM
133,San Mateo,01:47 PM
133,Burlingame,01:50 PM
133,Millbrae,01:54 PM
133,San Bruno,01:57 PM
133,S. San Francisco,02:00 PM
133,Bayshore,02:05 PM
133,22Nd Street,02:10 PM
133,San Francisco,02:16 PM
134,San Francisco,01:25 PM
134,22Nd Street,01:30 PM
134,Bayshore,01:34 PM
134,S. San Francisco,01:40 PM
134,San Bruno,01:43 PM
134,Millbrae,01:46 PM
134,Burlingame,01:50 PM
134,San Mateo,01:53 PM
134,Hayward Park,01:55 PM
134,Hillsdale,01:57 PM
134,Belmont,02:01 PM
134,San Carlos,02:03 PM
134,Redwood City,02:07 PM
134,Menlo Park,02:11 PM
134,Palo Alto,02:14 PM
134,California Avenue,02:17 PM
134,San Antonio,02:21 PM
134,Mountain View,02:24 PM
134,Sunnyvale,02:28 PM
134,Lawrence,02:31 PM
134,Santa Clara,02:36 PM
134,San Jose Diridon,02:42 PM
135,San Jose Diridon,01:28 PM
135,Santa Clara,01:34 PM
135,Lawrence,01:39 PM
135,Sunnyvale,01:42 PM
135,Mountain View,01:46 PM
135,San Antonio,01:49 PM
135,California Avenue,01:52 PM
135,Palo Alto,01:55 PM
135,Menlo Park,01:58 PM
135,Redwood City,02:03 PM
135,San Carlos,02:07 PM
135,Belmont,02:09 PM
135,Hillsdale,02:12 PM
135,Hayward Park,02:15 PM
135,San Mateo,02:17 PM
135,Burlingame,02:20 PM
135,Millbrae,02:24 PM
135,San Bruno,02:27 PM
135,S. San Francisco,02:30 PM
135,Bayshore,02:35 PM
135,22Nd Street,02:40 PM
135,San Francisco,02:46 PM
136,San Francisco,01:55 PM
136,22Nd Street,02:00 PM
136,Bayshore,02:04 PM
136,S. San Francisco,02:10 PM
136,San Bruno,02:13 PM
136,Millbrae,02:16 PM
136,Burlingame,02:20 PM
136,San Mateo,02:23 PM
136,Hayward Park,02:25 PM
136,Hillsdale,02:27 PM
136,Belmont,02:31 PM
136,San Carlos,02:33 PM
136,Redwood City,02:37 PM
136,Menlo Park,02:41 PM
136,Palo Alto,02:44 PM
136,California Avenue,02:47 PM
136,San Antonio,02:51 PM
136,Mountain View,02:54 PM
136,Sunnyvale,02:58 PM
136,Lawrence,03:01 PM
136,Santa Clara,03:06 PM
136,San Jose Diridon,03:13 PM
136,Tamien,03:18 PM
137,Tamien,01:52 PM
137,San Jose Diridon,01:58 PM
137,Santa Clara,02:04 PM
137,Lawrence,02:09 PM
137,Sunnyvale,02:12 PM
137,Mountain View,02:16 PM
137,San Antonio,02:19 PM
137,California Avenue,02:22 PM
137,Palo Alto,02:25 PM
137,Menlo Park,02:28 PM
137,Redwood City,02:33 PM
137,San Carlos,02:37 PM
137,Belmont,02:39 PM
137,Hillsdale,02:42 PM
137,Hayward Park,02:45 PM
137,San Mateo,02:47 PM
137,Burlingame,02:50 PM
137,Millbrae,02:54 PM
137,San Bruno,02:57 PM
137,S. San Francisco,03:00 PM
137,Bayshore,03:05 PM
137,22Nd Street,03:10 PM
137,San Francisco,03:16 PM
138,San Francisco,02:25 PM
138,22Nd Street,02:30 PM
138,Bayshore,02:34 PM
138,S. San Francisco,02:40 PM
138,San Bruno,02:43 PM
138,Millbrae,02:46 PM
138,Burlingame,02:50 PM
138,San Mateo,02:53 PM
138,Hayward Park,02:55 PM
138,Hillsdale,02:57 PM
138,Belmont,03:01 PM
138,San Carlos,03:03 PM
138,Redwood City,03:07 PM
138,Menlo Park,03:11 PM
138,Palo Alto,03:14 PM
138,California Avenue,03:17 PM
138,San Antonio,03:21 PM
138,Mountain View,03:24 PM
138,Sunnyvale,03:28 PM
138,Lawrence,03:31 PM
138,Santa Clara,03:36 PM
138,San Jose Diridon,03:42 PM
139,San Jose Diridon,02:28 PM
139,Santa Clara,02:34 PM
139,Lawrence,02:39 PM
139,Sunnyvale,02:42 PM
139,Mountain View,02:46 PM
139,San Antonio,02:49 PM
139,California Avenue,02:52 PM
139,Palo Alto,02:55 PM
139,Menlo Park,02:58 PM
139,Redwood City,03:03 PM
139,San Carlos,03:07 PM
139,Belmont,03:09 PM
139,Hillsdale,03:12 PM
139,Hayward Park,03:15 PM
139,San Mateo,03:17 PM
139,Burlingame,03:20 PM
139,Millbrae,03:24 PM
139,San Bruno,03:27 PM
139,S. San Francisco,03:30 PM
139,Bayshore,03:35 PM
139,22Nd Street,03:40 PM
139,San Francisco,03:46 PM
140,San Francisco,02:55 PM
140,22Nd Street,03:00 PM
140,Bayshore,03:04 PM
140,S. San Francisco,03:10 PM
140,San Bruno,03:13 PM
140,Millbrae,03:16 PM
140,Burlingame,03:20 PM
140,San Mateo,03:23 PM
140,Hayward Park,03:25 PM
140,Hillsdale,03:27 PM
140,Belmont,03:31 PM
140,San Carlos,03:33 PM
140,Redwood City,03:37 PM
140,Menlo Park,03:41 PM
140,Palo Alto,03:44 PM
140,California Avenue,03:47 PM
140,San Antonio,03:51 PM
140,Mountain View,03:54 PM
140,Sunnyvale,03:58 PM
140,Lawrence,04:01 PM
140,Santa Clara,04:06 PM
140,College Park,04:08 PM
140,San Jose Diridon,04:14 PM
140,Tamien,04:19 PM
141,Tamien,02:47 PM
141,San Jose Diridon,02:53 PM
141,College Park,03:01 PM
141,Santa Clara,03:04 PM
141,Lawrence,03:09 PM
141,Sunnyvale,03:12 PM
141,Mountain View,03:16 PM
141,San Antonio,03:19 PM
141,California Avenue,03:22 PM
141,Palo Alto,03:25 PM
141,Menlo Park,03:28 PM
141,Redwood City,03:34 PM
141,San Carlos,03:37 PM
141,Belmont,03:39 PM
141,Hillsdale,03:43 PM
141,Hayward Park,03:45 PM
141,San Mateo,03:47 PM
141,Burlingame,03:50 PM
141,Millbrae,03:54 PM
141,San Bruno,03:57 PM
141,S. San Francisco,04:00 PM
141,Bayshore,04:05 PM
141,22Nd Street,04:10 PM
141,San Francisco,04:16 PM
142,San Francisco,03:25 PM
142,22Nd Street,03:30 PM
142,Bayshore,03:34 PM
142,S. San Francisco,03:40 PM
142,San Bruno,03:43 PM
142,Millbrae,03:46 PM
142,Burlingame,03:50 PM
142,San Mateo,03:53 PM
142,Hayward Park,03:55 PM
142,Hillsdale,03:57 PM
142,Belmont,04:01 PM
142,San Carlos,04:03 PM
142,Redwood City,04:07 PM
142,Menlo Park,04:11 PM
142,Palo Alto,04:14 PM
142,California Avenue,04:17 PM
142,San Antonio,04:21 PM
